S n.o,Name,Year,Topic,Description
1,A Beautiful Mind,2001,Mental illness,"John Nash, a brilliant but asocial mathematical genius, finds himself in pain when he encounters a cruel disorder. He ultimately overcomes his struggles and emerges free of any trauma."
2,Inside Out,2015,Mental illness,"Riley (Kaitlyn Dias) is a happy, hockey-loving 11-year-old Midwestern girl, but her world turns upside-down when she and her parents move to San Francisco"
3,Wonder,2017,Bullying,"Wonder is about a boy called Auggie, who was born with a genetic condition that causes a facial deformity. Auggie has been home-schooled by his mother, Isabel (Julia Roberts), but is about to start his first year in public school."
4,Mean Girls,2004,Bullying,"Cady joins a new public school and befriends Janis and Damian. They warn Cady to avoid the Plastics, a group led by Regina. Things get worse when she falls in love with Aaron, Regina's ex-boyfriend."
5,Ray,2004,Crime,"Seven-year-old Ray goes blind after his brother's tragic death. His mother inspires him to rise above his impairment and make a place for himself, while a piano gives a new direction to his life."
6,Green Book,2018,Racism,"Amidst rampant racism in the 1960s southern America, an African American pianist hires an Italian American bouncer to drive him through his venues. They come closer in the course of their journey."
7,Selma,204,Racism,"Dr Martin King Luther Junior headed a campaign to secure equal voting rights, which led to an epic march from Selma to Montgomery compelling President Johnson to sign the Voting Rights Act of 1965."
8,3 Idiots,2009,Exam Stress,"In college, Farhan and Raju form a great bond with Rancho due to his positive and refreshing outlook to life. Years later, a bet gives them a chance to look for their long-lost friend whose existence seems rather elusive."
9,12th Fail,2023,Exam Stress,IPS officer Manoj Kumar Sharma fearlessly embraces the idea of restarting his academic journey and reclaiming his destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.
10,Taare Zameen Par,2007,Exam Stress,"Ishaan is criticised by his parents for his poor academic performance and is sent away to a boarding school. Ram, an art teacher, however, realises he has dyslexia and helps him uncover his potential."
11,The Pursuit of Happiness,2006,Racism,Chris Gardner takes up an unpaid internship in a brokerage firm after he loses his life's earnings selling a product he invested in. His wife leaves him and he is left with the custody of his son.
12,The Blind Side,2009,Racism,"Michael, a homeless African-American teenager, is adopted by a Caucasian family who helps him overcome his learning difficulties and achieve excellence in American football."
13,Fences,2016,Racism,"Troy, an African American man who once longed to be a baseball player, misses the opportunity due to racism. As time passes, he takes out his frustration on his loved ones and ruins his son's future."
14,Bridge To Terabithia,2017,Bullying,"Leslie and Jess create the secret kingdom of Terabithia, a land of monsters, trolls, ogres and giants where they spend their free time ruling as king and queen and fighting evil creatures."
15,Matilda,1996,Bullying,"Matilda has a dysfunctional relationship with her parents and brother. At school, she hates the principal for torturing her and a teacher, so she uses her telekinetic abilities to deal with her."
16,A Wrinkle In Time,2018,Bullying,"While on a quest to discover a scientific breakthrough, Meg's father disappears into another realm in space. Three peculiar beings send Meg, her brother, Charles and friend Calvin to find him."
